learning_rate,max_depth,n_estimators,score
0.001,6.0,901.0,0.6978260869565217
0.001,6.0,911.0,0.6978260869565217
0.001,6.0,921.0,0.6978260869565217
0.001,6.0,931.0,0.6978260869565217
0.001,6.0,941.0,0.6811594202898551
0.001,6.0,951.0,0.6811594202898551
0.001,6.0,961.0,0.6811594202898551
0.001,6.0,971.0,0.6811594202898551
0.001,6.0,981.0,0.6811594202898551
0.001,6.0,991.0,0.6811594202898551
0.001,7.0,1.0,0.6898550724637682
0.001,7.0,11.0,0.6731884057971015
0.001,7.0,21.0,0.6815217391304348
0.001,7.0,31.0,0.6815217391304348
0.001,7.0,41.0,0.6728260869565217
0.001,7.0,51.0,0.6728260869565217
0.001,7.0,61.0,0.6728260869565217
0.001,7.0,71.0,0.6811594202898551
0.001,7.0,81.0,0.6811594202898551
0.001,7.0,91.0,0.6811594202898551
0.001,7.0,101.0,0.6811594202898551
0.001,7.0,111.0,0.6811594202898551
0.001,7.0,121.0,0.6811594202898551
0.001,7.0,131.0,0.6811594202898551
0.001,7.0,141.0,0.6728260869565217
0.001,7.0,151.0,0.6728260869565217
0.001,7.0,161.0,0.6728260869565217
0.001,7.0,171.0,0.6728260869565217
0.001,7.0,181.0,0.6728260869565217
0.001,7.0,191.0,0.6728260869565217
0.001,7.0,201.0,0.6728260869565217
0.001,7.0,211.0,0.6728260869565217
0.001,7.0,221.0,0.6728260869565217
0.001,7.0,231.0,0.6728260869565217
0.001,7.0,241.0,0.6728260869565217
0.001,7.0,251.0,0.6728260869565217
0.001,7.0,261.0,0.6728260869565217
0.001,7.0,271.0,0.6728260869565217
0.001,7.0,281.0,0.6728260869565217
0.001,7.0,291.0,0.6728260869565217
0.001,7.0,301.0,0.6728260869565217
0.001,7.0,311.0,0.6728260869565217
0.001,7.0,321.0,0.6728260869565217
0.001,7.0,331.0,0.6728260869565217
0.001,7.0,341.0,0.6728260869565217
0.001,7.0,351.0,0.6728260869565217
0.001,7.0,361.0,0.6728260869565217
0.001,7.0,371.0,0.6728260869565217
0.001,7.0,381.0,0.6728260869565217
0.001,7.0,391.0,0.6728260869565217
0.001,7.0,401.0,0.6728260869565217
0.001,7.0,411.0,0.6728260869565217
0.001,7.0,421.0,0.6728260869565217
0.001,7.0,431.0,0.6728260869565217
0.001,7.0,441.0,0.6728260869565217
0.001,7.0,451.0,0.6728260869565217
0.001,7.0,461.0,0.6728260869565217
0.001,7.0,471.0,0.6728260869565217
0.001,7.0,481.0,0.6728260869565217
0.001,7.0,491.0,0.6728260869565217
0.001,7.0,501.0,0.6728260869565217
0.001,7.0,511.0,0.6728260869565217
